iter	Passed	Remaining
0	134	134790
1	135	67580
2	135	45193
3	136	33985
4	137	27265
5	137	22779
6	137	19573
7	138	17166
8	138	15291
9	139	13797
10	139	12579
11	140	11561
12	140	10699
13	141	9956
14	141	9317
15	142	8753
16	142	8256
17	143	7819
18	143	7422
19	144	7067
20	144	6749
21	145	6457
22	145	6190
23	146	5947
24	146	5724
25	147	5518
26	147	5328
27	148	5151
28	148	4983
29	149	4831
30	150	4690
31	150	4552
32	151	4425
33	151	4303
34	151	4187
35	152	4078
36	152	3979
37	153	3885
38	154	3797
39	154	3709
40	155	3627
41	155	3549
42	156	3474
43	156	3402
44	157	3333
45	157	3270
46	158	3208
47	158	3147
48	159	3088
49	159	3032
50	160	2979
51	160	2929
52	161	2880
53	161	2832
54	162	2785
55	162	2741
56	163	2698
57	163	2656
58	164	2616
59	164	2577
60	165	2541
61	165	2504
62	166	2469
63	166	2435
64	167	2402
65	167	2371
66	168	2341
67	168	2307
68	168	2278
69	169	2249
70	169	2222
71	170	2196
72	170	2170
73	171	2145
74	171	2120
75	172	2095
76	172	2071
77	173	2048
78	173	2026
79	174	2004
80	174	1984
81	175	1963
82	175	1943
83	176	1924
84	176	1903
85	177	1884
86	177	1864
87	178	1846
88	178	1828
89	179	1812
90	179	1795
91	180	1779
92	180	1763
93	181	1748
94	181	1733
95	182	1718
96	183	1703
97	183	1688
98	183	1673
99	184	1659
100	185	1647
101	185	1631
102	185	1618
103	186	1605
104	186	1592
105	187	1580
106	187	1568
107	188	1556
108	188	1544
109	189	1532
110	189	1521
111	190	1509
112	190	1497
113	191	1486
114	191	1476
115	192	1464
116	192	1454
117	193	1443
118	193	1433
119	194	1423
120	194	1413
121	195	1404
122	195	1393
123	195	1384
124	196	1374
125	196	1364
126	197	1356
127	197	1345
128	198	1337
129	198	1328
130	199	1320
131	199	1312
132	199	1303
133	200	1295
134	201	1287
135	201	1280
136	202	1272
137	202	1264
138	202	1257
139	203	1249
140	203	1242
141	204	1235
142	205	1228
143	205	1222
144	206	1215
145	206	1209
146	207	1202
147	207	1195
148	208	1189
149	208	1183
150	209	1176
151	209	1170
152	210	1164
153	210	1158
154	211	1151
155	211	1145
156	212	1139
157	212	1133
158	213	1127
159	213	1121
160	214	1115
